started_at,runtime
2017-07-12 07:00:54.951141,501.0
2017-09-22 11:05:45.852681,214.0
2017-09-25 13:35:40.899697,375.0
2017-07-19 07:42:04.588357,275.0
2017-09-07 21:15:21.311294,45.0
2017-09-26 18:00:49.315415,825.0
2017-08-09 10:55:31.054195,107.0
2017-08-14 21:05:31.054363,678.0
2017-07-25 16:50:42.801261,841.0
2017-08-02 09:16:28.689637,178.0
2017-07-03 09:05:36.249539,916.0
2017-08-18 07:40:29.270856,33.0
2017-08-08 12:55:37.742482,43.0
2017-08-16 10:20:45.469804,5.0
2017-07-05 11:35:46.605264,1126.0
2017-09-29 10:55:29.977249,2.0
2017-07-28 19:16:00.098382,965.0
2017-09-27 20:10:35.514468,726.0
2017-09-04 05:00:45.771862,92.0
2017-09-09 23:35:30.434170,266.0
2017-09-21 11:06:17.947587,160.0
2017-07-10 13:35:28.136394,265.0
2017-07-04 08:40:45.628148,181.0
2017-07-24 11:50:55.877726,828.0
2017-09-06 15:55:21.629600,91.0
2017-07-14 02:25:28.676686,23.0
2017-09-21 17:55:44.437422,967.0
2017-08-31 22:21:02.165534,1157.0
2017-07-09 15:25:36.168499,166.0
2017-07-12 18:20:48.620052,208.0
2017-07-17 12:25:34.838553,93.0
2017-07-17 20:25:52.148261,171.0
2017-08-01 13:35:30.137013,311.0
2017-07-16 14:15:46.067058,809.0
2017-08-24 15:01:22.352375,221.0
2017-08-17 12:45:40.920489,1090.0
2017-08-30 00:20:51.263535,153.0
2017-07-07 05:35:37.355732,277.0
2017-07-24 09:10:31.291505,112.0
2017-08-02 16:55:34.319128,871.0
2017-08-08 17:10:44.359682,835.0
2017-07-19 18:25:44.989916,251.0
2017-07-03 02:20:47.880327,392.0
2017-07-05 12:05:33.013300,158.0
2017-07-24 21:10:58.423622,282.0
2017-07-27 18:55:27.919340,275.0
2017-08-12 15:05:47.318099,427.0
2017-08-15 18:35:35.299460,880.0
2017-07-17 21:31:22.614782,1103.0
2017-09-08 18:20:42.231048,749.0
2017-08-23 16:05:32.338427,355.0
2017-07-07 07:21:03.389388,182.0
2017-07-26 18:50:43.790791,111.0
2017-07-03 16:06:10.434221,158.0
2017-07-28 08:06:40.470748,2145.0
2017-07-13 08:30:29.914758,16.0
2017-08-07 07:10:36.691135,97.0
2017-07-06 11:01:46.996908,694.0
2017-08-08 16:35:34.581225,30.0
2017-07-06 23:05:38.597041,792.0
